candidate_id,source,haddock_score,shape_complementarity,packstat,interface_hbonds,interface_saltbridges,nres_interface,n_cdrs_engaged,dominant_cdr,h3_kink_type,paratope_nres,crd1_contacts,crd2_contacts,crd1_fraction,crd2_fraction
Ab-1.1_CD40,af,-303.352,0.7165475189685822,0.713064481050345,25,5,79,5,H2,KINKED,31,24,5,0.8276,0.1724
Ab-11.1_CD40,af2,-294.219,0.706633597612381,0.7241139470060021,21,1,95,6,L1,EXTENDED,46,27,2,0.931,0.069
Ab-12.1_CD40,boltz,-251.961,0.7588331699371338,0.7197634291415809,16,5,58,5,H2,EXTENDED,28,13,0,1.0,0.0
Ab-15.1_CD40,boltz,-260.598,0.7323591709136963,0.6810305187498849,11,3,55,4,H3,KINKED,20,15,0,1.0,0.0
Ab-16.1_CD40,boltz,-243.409,0.7140680849552155,0.6303209418901147,15,5,60,5,H1,KINKED,27,16,0,1.0,0.0
Ab-19.1_CD40,boltz,-281.337,0.7247886061668396,0.6776186765641382,11,9,84,6,H3,KINKED,31,19,4,0.8261,0.1739
Ab-23.1_CD40,af,-301.909,0.7908437550067902,0.7516521576878298,11,2,70,6,H2,KINKED,23,21,3,0.875,0.125
Ab-24.1_CD40,boltz,-298.944,0.7119618058204651,0.6509925986283922,21,2,80,6,L2,KINKED,32,27,1,0.9643,0.0357
Ab-25.1_CD40,af,-275.257,0.7162289321422577,0.7287533295248025,15,3,74,6,L2,KINKED,28,22,3,0.88,0.12
Ab-26.1_CD40,boltz,-310.333,0.7314082086086273,0.6757021562635548,14,7,89,6,H2,KINKED,37,29,0,1.0,0.0
Ab-28.1_CD40,boltz,-224.084,0.8169805109500885,0.6340923483476419,6,1,62,6,L3,KINKED,22,16,0,1.0,0.0
Ab-29.1_CD40,af,-280.992,0.6986018121242523,0.7296500063323252,14,8,68,6,H2,KINKED,30,20,3,0.8696,0.1304
Ab-3.1_CD40,boltz,-292.306,0.7097494900226593,0.6232426707176197,11,2,61,6,H2,KINKED,23,18,1,0.9474,0.0526
Ab-30.1_CD40,af2,-230.982,0.7399942874908447,0.7662438244597767,12,3,47,5,L3,KINKED,22,13,0,1.0,0.0
Ab-34.1_CD40,boltz,-282.75,0.6983806192874908,0.6824588946270024,11,5,67,5,H2,KINKED,28,19,0,1.0,0.0
Ab-35.1_CD40,boltz,-257.899,0.7011290192604065,0.6745498741019649,12,6,82,6,H2,KINKED,38,23,1,0.9583,0.0417
Ab-36.1_CD40,af2,-378.219,0.7968365252017975,0.7194827601267597,25,3,110,6,L1,KINKED,62,32,1,0.9697,0.0303
Ab-37.1_CD40,boltz,-266.671,0.6913300156593323,0.6777973046576952,14,5,75,6,H1,KINKED,28,21,0,1.0,0.0
Ab-38.1_CD40,boltz,-294.917,0.7564966082572937,0.7259493601306928,20,2,79,6,H2,KINKED,31,25,1,0.9615,0.0385
Ab-6.1_CD40,boltz,-300.544,0.7213888168334961,0.6231398596723672,14,4,54,6,H2,KINKED,24,17,0,1.0,0.0
Ab-9.1_CD40,boltz,-333.051,0.6850717663764954,0.6706767624165689,17,5,76,6,H1,EXTENDED,34,23,1,0.9583,0.0417
